# Fiducial parameters: Omega_c, Omega_b, h, Omega_k, w0, wa, A_s, n_s
Omega_c Omega_b h Omega_k w0 wa A_s n_s
1.938836077114376053e+07 -5.252643877870930731e+07 1.925662744610659778e+07 -5.541449356428314745e+07 3.197619777689014561e+06 7.978615624751567375e+05 -1.597280592347632000e+15 -3.398771934002172668e+06
-5.252643877870929986e+07 3.288777909692212343e+08 -3.386350800430516899e+07 1.868892490287883878e+08 -1.104891477853672206e+07 -2.756150585169719532e+06 6.280321472054859000e+15 2.106127348390401527e+07
1.925662744610659778e+07 -3.386350800430516899e+07 2.127040390221375972e+07 -5.232462870625165105e+07 3.002763696469500661e+06 7.493911633882123278e+05 -1.361070923115817750e+15 -2.176906531279867515e+06
-5.541449356428314745e+07 1.868892490287883878e+08 -5.232462870625166595e+07 1.684141492264007926e+08 -9.790820028414864093e+06 -2.443319920797698200e+06 4.708433604521584000e+15 1.184193553458437696e+07
3.197619777689014561e+06 -1.104891477853672020e+07 3.002763696469500661e+06 -9.790820028414864093e+06 5.706386169604833703e+05 1.424271661640001112e+05 -2.763475543931315312e+14 -7.004878123604763532e+05
7.978615624751567375e+05 -2.756150585169719066e+06 7.493911633882123278e+05 -2.443319920797698200e+06 1.424271661640001112e+05 3.555270347095681063e+04 -6.869696729390058594e+13 -1.742716690338441986e+05
-1.597280592347632500e+15 6.280321472054860000e+15 -1.361070923115818000e+15 4.708433604521584000e+15 -2.763475543931315000e+14 -6.869696729390057812e+13 5.229974348341260143e+23 1.020411808842378500e+15
-3.398771934002172668e+06 2.106127348390401155e+07 -2.176906531279867049e+06 1.184193553458437510e+07 -7.004878123604763532e+05 -1.742716690338441986e+05 1.020411808842378250e+15 2.521421687522750348e+06
