# Fiducial parameters: Omega_c, Omega_b, h, Omega_k, w0, wa, A_s, n_s
Omega_c Omega_b h Omega_k w0 wa A_s n_s
2.266793387763734907e+06 -1.922434086103883572e+06 1.198050291846339824e+06 -5.607090345516114030e+05 -1.159704848294910335e+05 -4.040032912368132384e+04 1.526147035801773750e+14 4.467561423844605451e+05
-1.922434086103883805e+06 1.692698178927780129e+06 -1.037349132364221150e+06 4.929765866774452734e+05 9.383420555758995761e+04 3.373860668303936836e+04 -1.328454284885435312e+14 -3.858132558033724199e+05
1.198050291846339591e+06 -1.037349132364221034e+06 6.406969541386418277e+05 -3.020596195330898627e+05 -5.951256803201921139e+04 -2.114083105017286289e+04 8.181752892189803125e+13 2.395957923408128554e+05
-5.607090345516112866e+05 4.929765866774452734e+05 -3.020596195330898627e+05 1.449984309144230792e+05 2.769963803018918406e+04 9.867776159542900132e+03 -3.880880754066367188e+13 -1.099260304194618220e+05
-1.159704848294910480e+05 9.383420555758995761e+04 -5.951256803201921866e+04 2.769963803018918406e+04 6.572119483694467817e+03 2.149641983737154987e+03 -7.578531588536029297e+12 -2.105821694057832065e+04
-4.040032912368132384e+04 3.373860668303937564e+04 -2.114083105017286289e+04 9.867776159542900132e+03 2.149641983737155442e+03 7.316975789370169423e+02 -2.693198948993771484e+12 -7.737054090107521915e+03
1.526147035801773750e+14 -1.328454284885435312e+14 8.181752892189803125e+13 -3.880880754066366406e+13 -7.578531588536029297e+12 -2.693198948993771484e+12 1.047281342748796807e+22 3.027313723638064062e+13
4.467561423844604869e+05 -3.858132558033724781e+05 2.395957923408128554e+05 -1.099260304194618220e+05 -2.105821694057832065e+04 -7.737054090107521915e+03 3.027313723638064062e+13 9.624596000749124505e+04
