# Fiducial parameters: Omega_c, Omega_b, h, Omega_k, w0, wa, A_s, n_s
Omega_c Omega_b h Omega_k w0 wa A_s n_s
7.004092635801057331e+05 -6.440261084024563897e+05 3.806549167855059495e+05 -2.272893828378113685e+05 -3.499947318819352950e+04 -1.197362909270517412e+04 5.213012115149260938e+13 8.333423560397297842e+04
-6.440261084024563897e+05 6.076747847142518731e+05 -3.530959804233289324e+05 2.098007669269217004e+05 3.214221352961573575e+04 1.103749582659275984e+04 -4.818770578345040625e+13 -7.896830649463037844e+04
3.806549167855059495e+05 -3.530959804233289324e+05 2.085375406849043502e+05 -1.244643389964108210e+05 -1.904429726289297105e+04 -6.543439453286795469e+03 2.853405930577009766e+13 4.595484133942799235e+04
-2.272893828378113685e+05 2.098007669269217004e+05 -1.244643389964108064e+05 7.674461830294612446e+04 1.152181314903238308e+04 3.939993699265580744e+03 -1.729351386006139453e+13 -2.470681811064902286e+04
-3.499947318819352950e+04 3.214221352961573939e+04 -1.904429726289297105e+04 1.152181314903238308e+04 1.812650559597743268e+03 6.136292578146581036e+02 -2.635089074074088867e+12 -3.876253582356486731e+03
-1.197362909270517412e+04 1.103749582659275984e+04 -6.543439453286795469e+03 3.939993699265580744e+03 6.136292578146582173e+02 2.114997533706531954e+02 -9.023282262450887451e+11 -1.368854351964376974e+03
5.213012115149260938e+13 -4.818770578345040625e+13 2.853405930577010156e+13 -1.729351386006139453e+13 -2.635089074074088867e+12 -9.023282262450886230e+11 3.945649236095216386e+21 5.943275065746492188e+12
8.333423560397297842e+04 -7.896830649463037844e+04 4.595484133942799235e+04 -2.470681811064902649e+04 -3.876253582356486277e+03 -1.368854351964377202e+03 5.943275065746490234e+12 1.380851262248328931e+04
