# Fiducial parameters: Omega_c, Omega_b, h, Omega_k, w0, wa, A_s, n_s
Omega_c Omega_b h Omega_k w0 wa A_s n_s
1.679390336665379652e-02 3.115696180572417526e-03 -2.090870261565703353e-02 3.489779111002744251e-04 1.629312836986838431e-01 -3.238995023418085317e-01 7.294671889794253874e-14 7.169826374484340585e-05
3.115696180578390612e-03 5.784454797397895831e-04 -3.881225373181554535e-03 6.513047533312462170e-05 3.045265222694613222e-02 -6.088754348293466678e-02 1.181104605734365134e-14 1.442803068512600632e-05
-2.090870261567990412e-02 -3.881225373178361776e-03 2.604403264183696720e-02 -4.327477777451787340e-04 -2.036844208258204170e-01 4.062764775037259191e-01 -7.659429340249718831e-14 -9.754945536345618147e-05
3.489779112369793086e-04 6.513047535836156857e-05 -4.327477779148979531e-04 5.198887699993188160e-05 8.795862706006263645e-03 -2.532267112540576362e-02 1.895925666719859889e-14 1.812778017953253013e-06
1.629312837186463192e-01 3.045265223059167095e-02 -2.036844208504517695e-01 8.795862705097225176e-03 2.355987046380472627e+00 -5.838492951582879620e+00 1.711594666662199213e-12 1.482099116399393990e-03
-3.238995024113637267e-01 -6.088754349572356867e-02 4.062764775898812797e-01 -2.532267112422401795e-02 -5.838492951872832570e+00 1.563447150205906944e+01 -4.683892372836324835e-12 -4.229858356683351660e-03
7.294671892173232435e-14 1.181104606173139351e-14 -7.659429343201671679e-14 1.895925666710591720e-14 1.711594666806896245e-12 -4.683892372994970645e-12 4.094290529927058196e-23 -1.862743944391410271e-14
7.169826376616828022e-05 1.442803068905667457e-05 -9.754945538990774647e-05 1.812778017812827656e-06 1.482099116520682819e-03 -4.229858356796206698e-03 -1.862743944392418435e-14 1.210024289440645951e-05
