# Fiducial parameters: Omega_c, Omega_b, h, Omega_k, w0, wa, A_s, n_s
Omega_c Omega_b h Omega_k w0 wa A_s n_s
8.508471498002108391e-03 -8.146591428289032613e-03 -4.689200906582801504e-02 6.558055904634595666e-04 -4.140160380357762147e-03 5.372097693818690678e-02 1.251249054938270949e-10 9.387174051713870898e-03
-8.146591428285202344e-03 8.301874601204468906e-03 4.682431513489675179e-02 3.159428269531179670e-05 5.477606956155978493e-03 -4.577915499983997716e-02 -1.208188526736556443e-10 -9.914226812898408250e-03
-4.689200906573400690e-02 4.682431513482601670e-02 2.884224586946280700e-01 2.389342716577002625e-03 4.153379674227732077e-02 -2.599778342649111673e-01 -8.145495229451911259e-10 -6.551222905582652911e-02
6.558055904745384865e-04 3.159428268360500855e-05 2.389342716504310338e-03 7.761180936993296656e-03 -6.845475372452901157e-03 8.703381895685501080e-02 2.726007361863497550e-11 -3.076829640182001269e-03
-4.140160380350939480e-03 5.477606956154722553e-03 4.153379674234879831e-02 -6.845475372434981463e-03 9.416058083796673139e-02 -4.394152980650174456e-01 -2.190206499282775575e-10 -1.586900080690751419e-02
5.372097693851406869e-02 -4.577915500020288131e-02 -2.599778342676230536e-01 8.703381895677168856e-02 -4.394152980654879026e-01 2.886487169525759899e+00 1.262846885180669808e-09 5.240494027157691082e-02
1.251249054933800554e-10 -1.208188526732785792e-10 -8.145495229441294396e-10 2.726007361841885195e-11 -2.190206499278968476e-10 1.262846885171638651e-09 2.726006355566493014e-18 1.899213308528716344e-10
9.387174051676296788e-03 -9.914226812865994942e-03 -6.551222905572615107e-02 -3.076829640199453455e-03 -1.586900080687064438e-02 5.240494027083703737e-02 1.899213308528178935e-10 1.727018412016848720e-02
