# Fiducial parameters: Omega_c, Omega_b, h, Omega_k, w0, wa, A_s, n_s
Omega_c Omega_b h Omega_k w0 wa A_s n_s
1.911537940985868318e-04 -6.720274669580384613e-05 -4.668820436839097405e-04 -9.126464883179648973e-05 2.513137421871504667e-03 -7.633760359421428235e-03 -3.851325393437783117e-13 -4.967019252095892265e-05
-6.720274669581855062e-05 2.557709792291217791e-04 7.866966432314354864e-04 7.919504247683551519e-05 -6.901389591911069382e-04 3.352648042682803212e-03 -8.953061348803358028e-13 -6.310687272030134195e-05
-4.668820436839699137e-04 7.866966432313637122e-04 7.156771973360137422e-03 2.763805854722587232e-03 -1.414352157877069721e-03 2.782126947812411932e-02 -1.312710319150428713e-11 -3.437839055124724055e-03
-9.126464883181497538e-05 7.919504247674644798e-05 2.763805854722174802e-03 3.280356296951435126e-03 3.841311668753706957e-03 4.785604600851069146e-03 4.052687913819809660e-12 -2.454010253557016054e-03
2.513137421871423135e-03 -6.901389591909961327e-04 -1.414352157876452376e-03 3.841311668754200485e-03 6.675945594513219006e-02 -1.393834312919940421e-01 6.093850301199986735e-12 -5.300288104752369327e-03
-7.633760359421512369e-03 3.352648042682132307e-03 2.782126947812171500e-02 4.785604600851153280e-03 -1.393834312919983720e-01 5.574976729765984684e-01 -2.633236052448868948e-13 -1.862905293557520509e-03
-3.851325393437150008e-13 -8.953061348805637016e-13 -1.312710319150637447e-11 4.052687913818257080e-12 6.093850301198422847e-12 -2.633236052516345460e-13 1.034933356854741884e-19 5.426018280312223112e-12
-4.967019252093560552e-05 -6.310687272025220049e-05 -3.437839055124591783e-03 -2.454010253557173480e-03 -5.300288104752085699e-03 -1.862905293558257550e-03 5.426018280310882175e-12 3.019645143265310260e-03
