# Fiducial parameters: Omega_c, Omega_b, m_nu, h, Omega_k, w0, wa
Omega_c Omega_b m_nu h Omega_k w0 wa
2.416029868601805985e-05 4.313319398125529562e-06 7.649962544808271974e-06 -2.920379959869072090e-05 1.424093653056811776e-06 2.357710657390768778e-04 -4.500466490918086839e-04 1.819617889162810476e-15 -8.965794779214238350e-07
4.313319398126211423e-06 1.018382188050844675e-06 9.848444523823542452e-07 -6.649652279926055456e-06 -9.070925563310061415e-07 4.248895403194424852e-05 -1.116657922819899962e-04 -1.231768064878762186e-15 5.414239733428367436e-07
7.649962544811275553e-06 9.848444523843204204e-07 1.885744315795514212e-04 -7.295309556402340432e-06 -5.913453967109816756e-06 -3.643695225711902257e-04 8.417781978231335827e-04 9.359568571882095324e-16 -1.491620145737642621e-06
-2.920379959869508481e-05 -6.649652279926057997e-06 -7.295309556390705587e-06 4.450660908138504961e-05 5.851722958111739608e-06 -2.730648793095286184e-04 7.047152905601669279e-04 1.082559661729243734e-14 -5.351277957022219678e-06
1.424093653053362234e-06 -9.070925563319996053e-07 -5.913453967101434518e-06 5.851722958118012734e-06 7.838607071656850049e-06 1.036657003550847352e-04 -9.674575233158420667e-05 1.111732576512101631e-14 -5.366504364262269716e-06
2.357710657390956887e-04 4.248895403191773977e-05 -3.643695225712734382e-04 -2.730648793093621391e-04 1.036657003552524748e-04 8.553608998171962491e-03 -2.291227137389236640e-02 7.521851045045490956e-14 -3.410946361446029343e-05
-4.500466490919898541e-04 -1.116657922819408005e-04 8.417781978236470609e-04 7.047152905598591229e-04 -9.674575233211325667e-05 -2.291227137389802507e-02 7.065669570026175683e-02 7.961515771780547747e-14 -4.201521595002965137e-05
1.819617889157144089e-15 -1.231768064880081358e-15 9.359568572036228884e-16 1.082559661730068724e-14 1.111732576511895265e-14 7.521851045015957266e-14 7.961515771867728868e-14 3.680102943737034700e-23 -1.874962211091859931e-14
-8.965794779188256674e-07 5.414239733434313608e-07 -1.491620145745584614e-06 -5.351277957025935612e-06 -5.366504364261234642e-06 -3.410946361432131904e-05 -4.201521595043851756e-05 -1.874962211091848571e-14 1.041863465055857650e-05
