# z  nz0 nz1 nz2 nz3 nz4
1.749999999999999889e-01 2.597634070061064296e-02 5.577831052492866065e-03 1.133396620915681774e-03 1.062389388403955871e-03 9.990023125712651014e+07
1.849999999999999978e-01 2.638636203332716396e-02 5.540394148011600073e-03 1.148337206838554456e-03 1.106844148121690317e-03 1.070547515561015010e+08
1.950000000000000067e-01 2.659870869071983071e-02 5.547758617067083051e-03 1.163455452134988391e-03 1.097090944325112682e-03 1.355416542589132786e+08
2.050000000000000155e-01 2.707118271230816997e-02 5.929566242742908937e-03 1.192457708176353562e-03 1.064715815380256518e-03 1.638053686197949052e+08
2.149999999999999967e-01 2.765134353366262981e-02 6.592032108483403957e-03 1.240454833490766415e-03 1.003866096063211815e-03 2.350179400603588820e+08
2.250000000000000056e-01 2.803161205958623961e-02 7.273065272067722083e-03 1.273755414522511481e-03 9.672960444084400091e-04 3.705812933019458652e+08
2.349999999999999867e-01 2.832132036501725306e-02 7.595789388422881892e-03 1.294357880579996177e-03 9.603818201448662516e-04 2.515265413532392085e+08
2.449999999999999956e-01 2.828270396217500912e-02 7.850344127310050074e-03 1.309176649776608824e-03 9.738611534647925424e-04 1.039504148020847738e+08
2.550000000000000044e-01 2.757770123565744455e-02 8.672865653301284686e-03 1.326705549734604698e-03 1.051329676969579938e-03 2.346100001778890491e+08
2.650000000000000133e-01 2.642241132676285270e-02 9.784215040588548767e-03 1.356581173485123552e-03 1.180525250021867770e-03 2.408240935822403431e+08
2.750000000000000222e-01 2.551372319966466531e-02 1.044927597897182987e-02 1.377565866141507557e-03 1.238256963290282255e-03 1.780050024636226892e+08
2.850000000000000311e-01 2.512143558486206948e-02 1.059270991741114408e-02 1.395033319271022764e-03 1.236378151152134645e-03 1.957316799579117000e+08
2.949999999999999845e-01 2.451498342669516592e-02 1.106823388669524698e-02 1.457366188528537269e-03 1.244989366403092060e-03 2.101729229986194968e+08
3.049999999999999933e-01 2.354954669959237468e-02 1.281145248614203383e-02 1.645687032063549360e-03 1.351761399107556183e-03 2.465464518115710020e+08
3.150000000000000022e-01 2.231642797262694405e-02 1.502187404492448704e-02 1.882480537479233823e-03 1.573087426815915216e-03 2.868719839289180040e+08
3.250000000000000111e-01 2.138434014581895581e-02 1.662945057780171668e-02 2.076621461927616232e-03 1.700704752239231340e-03 3.636466996539056897e+08
3.350000000000000200e-01 2.095905329336876857e-02 1.702653780362699612e-02 2.153416892174474066e-03 1.711400182795613572e-03 4.499250686111278534e+08
3.450000000000000289e-01 2.094249701455572557e-02 1.747179731136998954e-02 2.219524252420238854e-03 1.698586640970117453e-03 4.584722353287082911e+08
3.549999999999999822e-01 2.086409277283271524e-02 1.879941723406728521e-02 2.318337129853053832e-03 1.801920388643695175e-03 4.461330271027430296e+08
3.649999999999999911e-01 2.069605101583833762e-02 2.052011210688683973e-02 2.373216318866428962e-03 2.089590209155950482e-03 5.305906911942433119e+08
3.750000000000000000e-01 2.034344803832648790e-02 2.193399596407271876e-02 2.382147064826538492e-03 2.252381376774220678e-03 5.992339036659513712e+08
